Module1,Module2,Module3,Module4,Module5,Module6,Module7,Module8,Module9,Module10,Module11,Module12,Module13,Module14,Module15,Module16
FAM111A,NDUFV2,PPIB,UQCR10,,,CMPK1,FAM129C,LSP1,,,DUSP2,SHKBP1,WSB1,,
SRSF7,PSMA3,SRP72,TRMT112,,,PSMB9,AFF3,LCP1,,,NR4A2,YPEL5,FNIP1,,
SNRPA1,MRPL13,IMPDH2,NDUFA1,,,GNB2,IGHM,PDE7A,,,FLNA,SYK,ZFC3H1,,
GNAS,PSMA5,ENO1,NEDD8,,,TRIR,PPP1R2,JCHAIN,,,DDX21,SYF2,USP15,,
GNAI2,SERBP1,AKR1A1,SERF2,,,PNRC1,MTPN,CORO1A,,,,EIF1B,BNIP2,,
,SNRPA,ABRACL,DYNLRB1,,,CALHM6,BTK,CAPG,,,,PCGF5,BAZ2A,,
,HNRNPC,LDHB,PIN4,,,UBE2D2,TCL1A,ARL4C,,,,ANXA2,MBNL1,,
,SRSF2,TXN,COX7A2,,,DCK,CD72,LY96,,,,ERP29,GPBP1,,
,FKBP3,NPM1,ATP5MG,,,LITAF,CD19,PLAC8,,,,C7orf50,SKIL,,
,NDUFB6,TALDO1,SRP14,,,PNRC2,,MYC,,,,IGLL5,JMJD1C,,
,LDHA,GSTO1,,,,SELENOF,,TSPAN3,,,,CDC25B,CLK1,,
,SNRPE,MRPL57,,,,FLI1,,SYTL1,,,,BCL7A,TRA2A,,
,HMGA1,TXN2,,,,,,BIN1,,,,,EPC1,,
,SNRPD1,PGLS,,,,,,RNASET2,,,,,ARID4B,,
,FABP5,NDUFB5,,,,,,CNPY3,,,,,WASHC4,,
,GAPDH,GSTP1,,,,,,ARPC2,,,,,MICU2,,
,PEBP1,NDUFS5,,,,,,TAGLN2,,,,,CMTM6,,
,UQCRQ,UQCRHL,,,,,,SNX3,,,,,BBX,,
,SEM1,TMEM14C,,,,,,ISCU,,,,,RBM6,,
,ATP5MC3,SUMO3,,,,,,ATP6V0E1,,,,,ACAP2,,
,SNRPF,NENF,,,,,,RAC2,,,,,UTRN,,
,VIM,MGST3,,,,,,TSTD1,,,,,AFF4,,
,ANP32B,ATP5MC1,,,,,,ARPC1B,,,,,RNF213,,
,VDAC3,C1QBP,,,,,,CNN2,,,,,SCAF11,,
,HPRT1,PPA1,,,,,,SYNGR2,,,,,UBAC2,,
,BANF1,CCT3,,,,,,COTL1,,,,,SSH2,,
,LSM4,NHP2,,,,,,EMP3,,,,,KMT2E,,
,RANBP1,MIF,,,,,,CIB1,,,,,MEF2A,,
,LSM5,METTL26,,,,,,CYBA,,,,,AKAP13,,
,RAN,MRPS34,,,,,,CD48,,,,,SF1,,
,DUT,HSPE1,,,,,,CPNE5,,,,,PHF3,,
,HSP90AA1,PYURF,,,,,,,,,,,RFTN1,,
,PA2G4,SOD1,,,,,,,,,,,PLEKHM1,,
,CCT6A,DARS,,,,,,,,,,,TCF25,,
,PRDX3,GADD45GIP1,,,,,,,,,,,CDK11A,,
,MRPL51,FDFT1,,,,,,,,,,,GOLGA4,,
,NAA38,GSTM1,,,,,,,,,,,RNMT,,
,AK2,DAD1,,,,,,,,,,,SLC12A6,,
,NDUFAB1,GPX4,,,,,,,,,,,ELP2,,
,PSMA7,CLIC1,,,,,,,,,,,NSF,,
,POLR2L,FBL,,,,,,,,,,,CCNT2,,
,TOMM5,HINT1,,,,,,,,,,,RLF,,
,PTGES3,NDUFC1,,,,,,,,,,,AP1G1,,
,SSBP1,SRI,,,,,,,,,,,KDM6A,,
,NDUFB11,CLNS1A,,,,,,,,,,,ZNF736,,
,MZT2B,TPI1,,,,,,,,,,,PRDM2,,
,PSME2,RSL1D1,,,,,,,,,,,TUT4,,
,SET,HSP90AB1,,,,,,,,,,,GPCPD1,,
,COX5A,APEX1,,,,,,,,,,,SECISBP2,,
,SUMO1,CUTA,,,,,,,,,,,INPP5D,,
,PSMB6,NME2,,,,,,,,,,,ZNF431,,
,NDUFA2,EEF1B2,,,,,,,,,,,TNRC6B,,
,HMGN3,,,,,,,,,,,,ZRANB2,,
,GNG5,,,,,,,,,,,,TTC17,,
,SUMO2,,,,,,,,,,,,ZNF292,,
,SRSF9,,,,,,,,,,,,KMT2A,,
,UBE2N,,,,,,,,,,,,CELF2,,
,ADI1,,,,,,,,,,,,TMEM123,,
,NDUFA4,,,,,,,,,,,,ELF1,,
,SLC25A5,,,,,,,,,,,,GTF2I,,
,ILF2,,,,,,,,,,,,ATRX,,
,NDUFS8,,,,,,,,,,,,BPTF,,
,NUTF2,,,,,,,,,,,,ARID1B,,
,SNRPC,,,,,,,,,,,,ZEB2,,
,NDUFS6,,,,,,,,,,,,CHD9,,
,COX8A,,,,,,,,,,,,RIC1,,
,ANAPC11,,,,,,,,,,,,NIPBL,,
